seed,study,n_obs,distance_from_training_centroid,mae
19,"Liu et al., 2015",2,0.08341497590361446,0.14118201409523828
19,"Ottaviano et al., 2016",2,0.062185024096385544,0.03370000000000001
19,"Martins et al., 2022",3,0.13497497590361446,0.2588524633227516
19,"Zhang et al., 2006",2,0.005275024096385528,0.024228539333333354
19,"Luo et al., 2010",2,0.08436497590361447,0.12946572338888954
19,"Trad et al., 2015",2,0.007514975903614468,0.034891379666666986
19,"Lee et al., 2014",3,0.06164830923694779,0.08195605471611721
19,"Derdiche et al., 2025",5,0.08044497590361446,0.04294538307814423
20,"Azbar et al., 2009",2,0.04852852348993289,0.07257701245238099
20,"Gonzales et al., 2016",3,0.012652476510067096,0.036926600809523806
20,"Akhbari & Ibrahim, 2022",13,0.08232401497160556,0.08066534653479861
20,"Fan et al., 2005",3,0.07435247651006711,0.03308434237566169
20,"Lee et al., 2014",3,0.06258580984340044,0.06840415057142839
20,"Jariyaboon et al., 2023",3,0.03845247651006711,0.0875724375459358
20,"Albuquerque et al., 2024",11,0.02538793105552166,0.05503654160028841
21,"Alibardi & Cossu, 2014",4,0.10146903496503495,0.07160886871428582
21,"Cao et al., 2014",4,0.11279553496503494,0.085863277702381
21,"Ivanova et al., 2009",6,0.1356907016317016,0.1301935281031741
21,"Ottaviano et al., 2016",2,0.045130965034965054,0.06937769133333352
21,"Cárdenas et al., 2018",16,0.15321278496503496,0.0736047119017858
21,"Di Perta et al., 2022",11,0.03528721678321675,0.04883379830617863
22,"Cao et al., 2014",4,0.09129833832335327,0.10087788320238117
22,"Ivanova et al., 2009",6,0.11419350499001994,0.13775373761111098
22,"Panagiotopoulos et al., 2010",4,0.16795316167664673,0.052875000000000005
22,"Luo et al., 2010",2,0.07992183832335328,0.1594391356428576
22,"Kontodimos et al., 2025",2,0.1328218383233533,0.27176362664740844
23,"Alibardi & Cossu, 2014",4,0.089755025477707,0.056174702290764794
23,"Azbar et al., 2009",2,0.044125974522293,0.07924356176190489
23,"Gonzales et al., 2016",3,0.017055025477706987,0.06227404562433864
23,"Cárdenas et al., 2018",16,0.141498775477707,0.06386427135515887
23,"Mars et al., 2010",2,0.19174497452229303,0.08149999999999999
23,"Trad et al., 2015",2,0.012855025477707005,0.06480333971428556
24,"Collet, 2004",2,0.06622099999999997,0.18162401410317508
24,"Lee et al., 2014",3,0.0571043333333333,0.05635600466666626
24,"Kontodimos et al., 2025",2,0.13272099999999998,0.30675675457348217
25,"Baeyens et al., 2020",2,0.14484880625000002,0.11862326461904737
25,"Ottaviano et al., 2016",2,0.06424880625000001,0.07585231542857165
25,"Akhbari & Ibrahim, 2022",13,0.07932273221153845,0.08170417507570213
25,"Martins et al., 2022",3,0.13291119375,0.26869411818855266
25,"Zhang et al., 2006",2,0.007338806249999996,0.02845791109523811
25,"Jariyaboon et al., 2023",3,0.03545119375,0.0867990925579607
25,"Kontodimos et al., 2025",2,0.13520119375,0.31833493554928455
26,"Ivanova et al., 2009",6,0.11498866666666667,0.10484567496296272
26,"Jariyaboon et al., 2023",3,0.03386700000000001,0.09767306199145342
26,"Albuquerque et al., 2024",11,0.020802454545454555,0.06724879068057181
27,"Baeyens et al., 2020",2,0.14835968000000002,0.13552985611904764
27,"Gonzales et al., 2016",3,0.006140319999999977,0.04489989368253967
27,"Liu et al., 2015",2,0.07784031999999999,0.053500000000000006
27,"Luo et al., 2010",2,0.07879032,0.14690793773015898
