model,protocol,augmented,seed,r2,rmse,mae,n_test,n_test_studies,ladder
CatBoost,row_wise,1,38,0.8313366066026195,0.06396037420014991,0.04109233471322639,79,39,noise_augmented_random
CatBoost,row_wise,1,39,0.6934512602606295,0.06440868626379491,0.04523941047508362,79,36,noise_augmented_random
RandomForest,row_wise,0,0,0.42828346262943684,0.1048391396298374,0.07634550288786077,40,25,row_wise
RandomForest,row_wise,0,1,0.5292388285224954,0.11187706472504615,0.0842845726031746,40,29,row_wise
RandomForest,row_wise,0,2,0.5034530255343526,0.11335680689157261,0.07982653115138887,40,28,row_wise
RandomForest,row_wise,0,3,0.11992151294201947,0.08054512892593813,0.05579649809709595,40,25,row_wise
RandomForest,row_wise,0,4,-0.24029876997169253,0.11027574801728822,0.07921364526803058,40,23,row_wise
RandomForest,row_wise,0,5,0.16901399062884015,0.10618444987426104,0.07690406863520646,40,32,row_wise
RandomForest,row_wise,0,6,0.06486418614572209,0.11782920548597481,0.08715879446094872,40,27,row_wise
RandomForest,row_wise,0,7,0.08007229326707621,0.11253373994405788,0.07422767943210679,40,25,row_wise
RandomForest,row_wise,0,8,0.2595687362432768,0.10428622283876862,0.06975784196823595,40,26,row_wise
RandomForest,row_wise,0,9,0.21055271974852774,0.10762524109747863,0.07608686233764435,40,26,row_wise
RandomForest,row_wise,0,10,0.2242324398167863,0.0959042362044956,0.07453119066125533,40,28,row_wise
RandomForest,row_wise,0,11,0.25230626845852866,0.10845441097895958,0.07988042159003768,40,31,row_wise
RandomForest,row_wise,0,12,0.5527100252443959,0.10303362385083278,0.07216876793118683,40,27,row_wise
RandomForest,row_wise,0,13,0.22331720068278182,0.1205403627450494,0.07863633102487515,40,23,row_wise
RandomForest,row_wise,0,14,0.37459336871038285,0.12738661190145245,0.09212981018154758,40,29,row_wise
RandomForest,row_wise,0,15,0.4627629965208496,0.1091288875822157,0.07986008568055551,40,28,row_wise
RandomForest,row_wise,0,16,-0.12933057689946215,0.11128621961917858,0.08083489307275368,40,26,row_wise
RandomForest,row_wise,0,17,0.23716009732626808,0.12728464961369282,0.09113946448329728,40,27,row_wise
RandomForest,row_wise,0,18,0.34375669363266026,0.11784202418138362,0.08460744714318187,40,32,row_wise
RandomForest,row_wise,0,19,0.13289854820231595,0.12127172581365957,0.0830475804119228,40,31,row_wise
RandomForest,row_wise,0,20,0.6847820370074764,0.08450563593349911,0.06055149193414768,40,26,row_wise
RandomForest,row_wise,0,21,0.16346147913335407,0.10948754333666887,0.08277009851408594,40,29,row_wise
RandomForest,row_wise,0,22,0.49505123120855854,0.10189653733572798,0.06633521962709239,40,28,row_wise
RandomForest,row_wise,0,23,-0.4247154790085885,0.13000407190528615,0.08443527564156257,40,29,row_wise
RandomForest,row_wise,0,24,0.41996677262352033,0.1006560206407112,0.07169799340387814,40,27,row_wise
RandomForest,row_wise,0,25,0.6018737550003561,0.08663798800220895,0.05893575972950941,40,27,row_wise
RandomForest,row_wise,0,26,0.4653443138188237,0.10704054690216447,0.07591703572527052,40,24,row_wise
RandomForest,row_wise,0,27,0.442963772830804,0.08464997138934686,0.05394011479516593,40,25,row_wise
RandomForest,row_wise,0,28,0.46824001532621584,0.10536659301471926,0.07532493821648631,40,30,row_wise
RandomForest,row_wise,0,29,0.35138420887979205,0.10092188588687497,0.07236014484959472,40,30,row_wise
RandomForest,row_wise,0,30,0.18704197946327905,0.09364839637325904,0.07499620629944086,40,25,row_wise
RandomForest,row_wise,0,31,0.31475788894514223,0.08393322776212084,0.06155761616830798,40,26,row_wise
RandomForest,row_wise,0,32,0.38738748635686704,0.11206824214290942,0.08607528991661266,40,27,row_wise
RandomForest,row_wise,0,33,0.36043159258273316,0.09427127886895409,0.07033820945167747,40,24,row_wise
RandomForest,row_wise,0,34,0.38881782840684276,0.09940110351805573,0.07150591323920943,40,34,row_wise
RandomForest,row_wise,0,35,0.36028294088591395,0.09334271456703024,0.06542417076515153,40,29,row_wise
RandomForest,row_wise,0,36,0.5613275146669101,0.09973922751478156,0.06697773730120846,40,26,row_wise
RandomForest,row_wise,0,37,0.3437177857662562,0.09712773067121847,0.07011665690597049,40,27,row_wise
RandomForest,row_wise,0,38,-0.012529073068882068,0.11955772004714335,0.09047772034359669,40,30,row_wise
RandomForest,row_wise,0,39,0.09230412920705133,0.12312574094599905,0.09229792512599208,40,26,row_wise
CatBoost,row_wise,0,0,0.4766295693477516,0.10030848288729996,0.07381840972905093,40,25,row_wise
CatBoost,row_wise,0,1,0.5728616922206693,0.10656755636568951,0.07664942044348089,40,29,row_wise
CatBoost,row_wise,0,2,0.4822303424770583,0.115753926588288,0.07667032580412014,40,28,row_wise
CatBoost,row_wise,0,3,0.22448307989599958,0.07560912589512264,0.05386781631326526,40,25,row_wise
CatBoost,row_wise,0,4,-0.09654398014710219,0.10368833084906028,0.07327222934263536,40,23,row_wise
CatBoost,row_wise,0,5,0.2253520934713521,0.1025218043816797,0.07535189471834827,40,32,row_wise
CatBoost,row_wise,0,6,0.1348119074433276,0.11333678035615204,0.08283431062600127,40,27,row_wise
CatBoost,row_wise,0,7,0.17259278237535436,0.10672485054408079,0.07110575958968654,40,25,row_wise
CatBoost,row_wise,0,8,0.3327245558292877,0.0990004424368282,0.06727910177417676,40,26,row_wise
CatBoost,row_wise,0,9,0.214215816164808,0.10737525605296624,0.07509255948737456,40,26,row_wise
CatBoost,row_wise,0,10,0.3200028456085553,0.08978949542766919,0.07052483911624777,40,28,row_wise
CatBoost,row_wise,0,11,0.24382238084452312,0.10906797748495875,0.08268944043418096,40,31,row_wise
CatBoost,row_wise,0,12,0.5572111409561789,0.10251389512168961,0.07452236466012306,40,27,row_wise
CatBoost,row_wise,0,13,0.33972011907797806,0.11114109789467128,0.07365172045421217,40,23,row_wise
CatBoost,row_wise,0,14,0.3005996647789059,0.1347117456684947,0.0974753819406525,40,29,row_wise
CatBoost,row_wise,0,15,0.45581591389631404,0.10983220125176615,0.07747460574874003,40,28,row_wise
CatBoost,row_wise,0,16,0.038841523555773305,0.10266640299931361,0.07616714943180389,40,26,row_wise
CatBoost,row_wise,0,17,0.2084019424500101,0.12966169370515385,0.0913495163247731,40,27,row_wise
CatBoost,row_wise,0,18,0.2924427452777616,0.12236255721630764,0.08850297518992614,40,32,row_wise
CatBoost,row_wise,0,19,0.2689687814035585,0.11135060045110257,0.07831464182030412,40,31,row_wise
CatBoost,row_wise,0,20,0.6905991192310721,0.08372226479407584,0.059570373195221585,40,26,row_wise
CatBoost,row_wise,0,21,0.26023684090146104,0.10295989448207322,0.07914524765321548,40,29,row_wise
CatBoost,row_wise,0,22,0.4786735195134617,0.10353582771510202,0.06824949252644028,40,28,row_wise
CatBoost,row_wise,0,23,0.24318084801435114,0.09475212108494718,0.07026360186693259,40,29,row_wise
CatBoost,row_wise,0,24,0.4277031702440386,0.09998249969366292,0.07002607501877492,40,27,row_wise
CatBoost,row_wise,0,25,0.6246213806322302,0.08412648055795,0.05410049928613436,40,27,row_wise
CatBoost,row_wise,0,26,0.4947736975661473,0.10405290281460636,0.07214494488632704,40,24,row_wise
CatBoost,row_wise,0,27,0.4331928389772244,0.08538916359169159,0.05677758895611769,40,25,row_wise
CatBoost,row_wise,0,28,0.4282424900868661,0.10925744738972519,0.07618994602104938,40,30,row_wise
CatBoost,row_wise,0,29,0.3578106991009409,0.10042067388447769,0.07010415755101991,40,30,row_wise
CatBoost,row_wise,0,30,0.21492654243455223,0.09202830691728545,0.07416151152497737,40,25,row_wise
CatBoost,row_wise,0,31,0.3137263481377266,0.08399637915691031,0.059718957392845586,40,26,row_wise
CatBoost,row_wise,0,32,0.3578711800496942,0.11473626522977758,0.08694146827721508,40,27,row_wise
CatBoost,row_wise,0,33,0.2933520151079827,0.09909174118775602,0.07330791418616903,40,24,row_wise
CatBoost,row_wise,0,34,0.4368229097474251,0.0954175710620156,0.07094459100558508,40,34,row_wise
CatBoost,row_wise,0,35,0.3341459350959939,0.09523048330403942,0.0674334838347754,40,29,row_wise
CatBoost,row_wise,0,36,0.5691178809550628,0.09884962785002926,0.0664434604779692,40,26,row_wise
CatBoost,row_wise,0,37,0.3962264979958452,0.09316117319258944,0.06837993613480743,40,27,row_wise
CatBoost,row_wise,0,38,0.07147001822810484,0.11449112931464757,0.0869473599177063,40,30,row_wise
CatBoost,row_wise,0,39,0.09388123277333471,0.1230187301775159,0.09089388377924348,40,26,row_wise
RandomForest,study_grouped,0,0,0.25014063237231543,0.09119635620893349,0.07535745582987838,32,16,study_grouped
RandomForest,study_grouped,0,1,0.07132912206980568,0.09882841282901149,0.08533032904867718,30,16,study_grouped
RandomForest,study_grouped,0,2,-0.06563204495786379,0.10112108164130194,0.07901923388816735,20,16,study_grouped
RandomForest,study_grouped,0,3,-0.06699254014339862,0.12107306716321532,0.09667048470445942,21,16,study_grouped
RandomForest,study_grouped,0,4,-0.08419196917794403,0.09036052942449455,0.06921431325304996,44,16,study_grouped
RandomForest,study_grouped,0,5,-0.8963800677108142,0.11154112925721626,0.08946631330290086,39,16,study_grouped
RandomForest,study_grouped,0,6,-0.10111427391740113,0.12048298553911893,0.0965228509434524,48,16,study_grouped
RandomForest,study_grouped,0,7,0.00020529215465470152,0.113961745444753,0.0866517928841351,49,16,study_grouped
RandomForest,study_grouped,0,8,-0.621779342541448,0.2231692667266046,0.1551308238100761,39,16,study_grouped
RandomForest,study_grouped,0,9,0.1639141012634978,0.1076852342036411,0.08274625682894152,46,16,study_grouped
RandomForest,study_grouped,0,10,-0.3866416186023822,0.11051794039531727,0.07874244069967903,55,16,study_grouped
RandomForest,study_grouped,0,11,-0.38666901019229316,0.10634724980865375,0.08092023104870137,28,16,study_grouped
RandomForest,study_grouped,0,12,0.10329915950114621,0.09390640941208815,0.07095561754691045,56,16,study_grouped
RandomForest,study_grouped,0,13,-0.5486694683851201,0.13667286374827123,0.11918126559615087,29,16,study_grouped
RandomForest,study_grouped,0,14,-0.1480227608675111,0.11232059500513766,0.08968880020655087,41,16,study_grouped
RandomForest,study_grouped,0,15,-0.09025748310133319,0.1089371065486841,0.08739212312008113,37,16,study_grouped
RandomForest,study_grouped,0,16,0.15340416069869922,0.07493309988266408,0.059159291333573706,36,16,study_grouped
RandomForest,study_grouped,0,17,-3.2092007609097477,0.12865378924034715,0.10612866089401773,27,16,study_grouped
RandomForest,study_grouped,0,18,-0.9484770827452418,0.2537332754600822,0.19436519651519818,31,16,study_grouped
RandomForest,study_grouped,0,19,-0.777098690726661,0.12654738517353803,0.09721703109442424,30,16,study_grouped
RandomForest,study_grouped,0,20,-0.050210639847794614,0.09529399960676449,0.07616939733001751,47,16,study_grouped
RandomForest,study_grouped,0,21,-0.023586522491207074,0.08579453031215585,0.07432726828501998,53,16,study_grouped
