resample,study,n,study_mean,dist_from_train_mean,mae
9,"Gavala et al., 2005",1,0.0463,0.12685694078947365,0.14104409437085116
9,"Cárdenas et al., 2018",22,0.007872727272727273,0.16528421351674638,0.08241905709415602
10,"Alibardi & Cossu, 2014",4,0.060000000000000005,0.09510814705882353,0.055661973376623375
10,"Liu et al., 2015",2,0.061,0.09410814705882353,0.0535
10,"Kotsopoulos et al., 2006",1,0.3073,0.1521918529411765,0.08470854226190458
10,"Slezak et al., 2017",1,0.076,0.07910814705882353,0.0104253404906203
10,"Geng et al., 2010",1,0.1692,0.014091852941176458,0.016016529666666585
10,"Li et al., 2020",1,0.007,0.14810814705882352,0.09226402833333337
10,"Jariyaboon et al., 2023",3,0.1069,0.048208147058823536,0.0774924587741707
10,"Lin & Chang, 2003",1,0.2115,0.05639185294117646,0.08089620833333364
10,"Massanet-Nicolau et al., 2009",1,0.027,0.12810814705882353,0.0696094764466089
10,"Lee et al., 2009",1,0.148,0.0071081470588235385,0.12646294583333392
10,"Levin et al., 2006",2,0.14865,0.006458147058823527,0.09453375158928541
10,"Zagklis et al., 2021",2,0.1431,0.012008147058823526,0.07477103011634206
10,"Ivanova et al., 2009",6,0.025778333333333337,0.12932981372549018,0.09357123237301553
10,"Di Perta et al., 2022",11,0.1261818181818182,0.02892632887700533,0.06191452196248191
10,"Baeyens et al., 2020",2,0.2872,0.13209185294117648,0.13898970111111114
10,"Kim, 2004",1,0.1229,0.032208147058823536,0.047899310099206366
10,"Ergal et al., 2022",14,0.2817928571428571,0.1266847100840336,0.1320065852760384
11,"Geng et al., 2010",1,0.1692,0.012505182291666667,0.01980717569444493
11,"Kotsopoulos et al., 2006",1,0.3073,0.1506051822916667,0.14305011125000044
11,"Slezak et al., 2017",1,0.076,0.08069481770833332,0.034361088201659486
11,"Tapia-Venegas et al., 2012",1,0.3359,0.17920518229166665,0.10194682083333298
11,"Kargi et al., 2012",2,0.111,0.04569481770833332,0.01539968067460317
11,"Mars et al., 2010",2,0.3415,0.1848051822916667,0.09888635773809445
11,"Gómez et al., 2006",1,0.0713,0.08539481770833332,0.018215932305555474
11,"Shen et al., 2010",1,0.19276,0.036065182291666664,0.05718456081349174
11,"Cai et al., 2009",1,0.0072,0.1494948177083333,0.12343034583333297
11,"Tang et al., 2008",1,0.319,0.16230518229166668,0.2251801512500003
11,"Albuquerque et al., 2024",11,0.11996454545454545,0.036730272253787874,0.044126972998409376
11,"Lee et al., 2009",1,0.148,0.00869481770833333,0.16681039750000157
11,"Lee et al., 2006",1,0.128,0.02869481770833332,0.0531843333333335
11,"Zhang et al., 2006",2,0.14969,0.007004817708333333,0.03412246681349214
11,"Nam et al., 2015",1,0.062,0.09469481770833332,0.04555805750000015
11,"Fan et al., 2005",3,0.071,0.08569481770833333,0.0277207559563494
11,"Dounavis et al., 2015",1,0.1266,0.030094817708333332,0.04305059244047607
12,"Lee et al., 2014",3,0.08276666666666667,0.07032177083333334,0.038938002083333145
12,"Chang et al., 2010",1,0.2264,0.07331156249999998,0.15884175189393945
12,"Fang & Liu, 2002",1,0.2613,0.10821156249999997,0.008111999166665995
12,"Gonzales et al., 2016",3,0.1327,0.020388437499999995,0.024072647499999985
12,"Liu et al., 2009",1,0.0249,0.1281884375,0.2044156172916663
12,"Tang et al., 2008",1,0.319,0.1659115625,0.2189175248809525
12,"Rydén & Lyngfelt, 2006",1,0.00102,0.15206843750000001,0.10160000250000009
12,"Cai et al., 2004b",1,0.31,0.1569115625,0.20894770124999984
12,"Levin et al., 2006",2,0.14865,0.004438437500000003,0.07345079502083306
12,"Di Perta et al., 2022",11,0.1261818181818182,0.026906619318181807,0.06146610633116882
12,"Nam et al., 2015",1,0.062,0.09108843750000001,0.0095317104166667
12,"Ito et al., 2005",1,0.2726,0.1195115625,0.14422596732142848
12,"Okonkwo, 2019",15,0.30300000000000005,0.14991156250000004,0.12183030561557227
12,"Ergal et al., 2022",14,0.2817928571428571,0.12870441964285712,0.14631772113520422
12,"Bundhoo et al., 2015",1,0.2239,0.07081156249999998,0.02381711190476174
12,"Chen et al., 2012",1,0.0248,0.12828843750000002,0.13907029009379487
12,"Cárdenas et al., 2018",22,0.007872727272727273,0.14521571022727273,0.11608451321428583
13,"Ghimire et al., 2015",4,0.0995,0.05106537837837838,0.04985374039682547
13,"Shen et al., 2010",1,0.19276,0.0421946216216216,0.038193017460317336
13,"Gómez et al., 2006",1,0.0713,0.07926537837837838,0.07946153541666662
13,"Liu et al., 2009",1,0.0249,0.12566537837837838,0.21819839120039633
13,"Alzate-Gaviria et al., 2007",1,0.099,0.05156537837837838,0.00019254872023802272
13,"Rydén & Lyngfelt, 2006",1,0.00102,0.1495453783783784,0.06581903632936534
13,"Pan et al., 2008",2,0.048,0.10256537837837838,0.06911605256944425
13,"Levin et al., 2006",2,0.14865,0.0019153783783783795,0.05823450624999973
13,"Zagklis et al., 2021",2,0.1431,0.007465378378378379,0.05659363268849206
13,"Lee et al., 2006",1,0.128,0.02256537837837838,0.015890175992063105
13,"Nam et al., 2015",1,0.062,0.08856537837837838,0.044360062480159085
13,"Trad et al., 2015",3,0.11396666666666666,0.03659871171171172,0.05709885994179902
13,"Zhi & Wang, 2014",1,0.00098,0.14958537837837838,0.03316843209006269
13,"Kim, 2004",1,0.1229,0.02766537837837839,0.033612639652777776
13,"Chen et al., 2012",1,0.0248,0.1257653783783784,0.1797976697351261
13,"Wang & Wan, 2008",1,0.219,0.06843462162162162,0.15131922571428558
13,"Okonkwo, 2019",15,0.30300000000000005,0.15243462162162166,0.10531444545808169
14,"Liu et al., 2015",2,0.061,0.09528806010928964,0.18746152468739607
14,"Kargi et al., 2012",2,0.111,0.04528806010928964,0.012638413898809465
14,"Fang et al., 2005",1,0.346,0.18971193989071033,0.25570577113816717
14,"Fang & Liu, 2002",1,0.2613,0.10501193989071034,0.04646357758852193
14,"Kontodimos et al., 2025",2,0.00715,0.14913806010928965,0.2823250141732716
14,"Gómez et al., 2006",1,0.0713,0.08498806010928964,0.07368335000000001
14,"Wang & Yin, 2018",1,0.016,0.14028806010928963,0.13456030041666683
14,"Lin & Chang, 2003",1,0.2115,0.055211939890710354,0.024670449633699992
14,"Jariyaboon et al., 2023",3,0.1069,0.049388060109289644,0.07748840395634947
14,"Łukajtis et al., 2018",7,0.18394714285714286,0.027659082747853225,0.12297686827780327
14,"Cai et al., 2004b",1,0.31,0.15371193989071036,0.1767651086706347
14,"Albuquerque et al., 2024",11,0.11996454545454545,0.03632351465474419,0.0423081665506034
14,"Zagklis et al., 2021",2,0.1431,0.013188060109289634,0.037729787628968316
14,"Nam et al., 2015",1,0.062,0.09428806010928964,0.04580509546626993
14,"Nathao et al., 2013",1,0.057,0.09928806010928964,0.024178319226190396
14,"Mars et al., 2010",2,0.3415,0.1852119398907104,0.09776427142857042
14,"Baeyens et al., 2020",2,0.2872,0.13091193989071037,0.09266098559981703
15,"Gavala et al., 2005",1,0.0463,0.11540624999999996,0.17026145289413508
15,"Alibardi & Cossu, 2014",4,0.060000000000000005,0.10170624999999997,0.0837407423462302
15,"Slezak et al., 2017",1,0.076,0.08570624999999997,0.017931820892857095
15,"Kargi et al., 2012",2,0.111,0.05070624999999997,0.014186142842261912
15,"Cai et al., 2009",1,0.0072,0.15450624999999996,0.13114419083333279
15,"Wang & Yin, 2018",1,0.016,0.14570624999999998,0.0993631668253971
15,"Jain et al., 2022",1,0.3732,0.21149375,0.18491549583333244
15,"Tang et al., 2008",1,0.319,0.15729375000000004,0.23420223967261913
15,"Pendyala et al., 2012",1,0.056,0.10570624999999997,0.05165791666666613
15,"Pan et al., 2008",2,0.048,0.11370624999999997,0.09371048644345235
15,"Derdiche et al., 2025",5,0.06497,0.09673624999999997,0.04576535502572712
15,"Zagklis et al., 2021",2,0.1431,0.018606249999999963,0.09549766202762533
15,"Yang et al., 2006",1,0.1045,0.05720624999999997,0.12015045416666693
15,"Zhang et al., 2006",2,0.14969,0.012016249999999978,0.03382478190079355
15,"Morimoto et al., 2003",1,0.2613,0.09959375000000001,0.12102070375000007
15,"Dounavis et al., 2015",1,0.1266,0.03510624999999998,0.04733999999999977
15,"Han et al., 2014",1,0.2167,0.054993750000000036,0.018786602499999944
16,"Lee et al., 2014",3,0.08276666666666667,0.08177853951890034,0.03165295666666647
16,"Liu et al., 2015",2,0.061,0.10354520618556701,0.053500000000000006
