protocol,model,resample,r2,rmse,mae,n_test,n_test_studies
grouped,Random Forest,35,-0.17669544368942525,0.14455324806723352,0.11174693959497821,38,17.0
grouped,Random Forest,36,0.3386556001996315,0.10377715161897483,0.08591593128230476,55,17.0
grouped,Random Forest,37,-0.8539494532703729,0.1426893052936393,0.11621968331320967,36,17.0
grouped,Random Forest,38,-0.19360460782722444,0.1223066696952539,0.10429302375397337,47,17.0
grouped,Random Forest,39,0.14574462004987232,0.14042658438659508,0.10693858172647824,54,17.0
grouped,CatBoost,0,-0.0767125592170268,0.10905042654372932,0.08570085099126008,37,17.0
grouped,CatBoost,1,0.22031298463409743,0.12235432941311808,0.1009875583687682,48,17.0
grouped,CatBoost,2,0.06033377284221442,0.1423070033450934,0.11723297054674976,58,17.0
grouped,CatBoost,3,-0.3320976300560545,0.13930421322605466,0.1262362819023675,52,17.0
grouped,CatBoost,4,-0.37771790553738027,0.09383095296200922,0.07330781979130536,36,17.0
grouped,CatBoost,5,-0.46586289595530994,0.11641871300330618,0.10251672354922056,47,17.0
grouped,CatBoost,6,-0.6439633152801263,0.13554797451354195,0.12530716959827076,53,17.0
grouped,CatBoost,7,-1.0733345284523184,0.13379944321613474,0.11105426666985357,61,17.0
grouped,CatBoost,8,-1.105428140836386,0.24417559601021158,0.1780991361062586,42,17.0
grouped,CatBoost,9,0.19649859918265022,0.1333153012714138,0.1120329489609465,72,17.0
grouped,CatBoost,10,0.29074158214411305,0.11561940677763474,0.09237177739465517,54,17.0
grouped,CatBoost,11,0.13583068011123145,0.08725848187359707,0.06325071329694572,32,17.0
grouped,CatBoost,12,0.1480794678075511,0.14270726059072747,0.11911671881492474,80,17.0
grouped,CatBoost,13,0.16256775438690252,0.12175950136302759,0.09955136837122268,39,17.0
grouped,CatBoost,14,-0.13034570705419535,0.12045377831337413,0.09405606536580183,41,17.0
grouped,CatBoost,15,-0.7723825958176418,0.12185722764195124,0.10066452525720064,28,17.0
grouped,CatBoost,16,-2.1883191781214464,0.12195965777560748,0.09390876580260907,30,17.0
grouped,CatBoost,17,-0.011694788653987098,0.11834156311334974,0.095528297599488,29,17.0
grouped,CatBoost,18,-0.7432999634648161,0.2554957187587611,0.18968198318911636,30,17.0
grouped,CatBoost,19,0.07547768335481675,0.12303693058018017,0.09722486890665635,51,17.0
grouped,CatBoost,20,-0.41365969869056185,0.21337691515855892,0.15185010269855279,61,17.0
grouped,CatBoost,21,-0.6085952335703317,0.1112505634465431,0.09424276548483847,57,17.0
grouped,CatBoost,22,-0.6937521314689794,0.18250051720594276,0.144685838456571,46,17.0
grouped,CatBoost,23,0.0030583179893085566,0.12738989985523166,0.11151977283484649,55,17.0
grouped,CatBoost,24,-0.6833817391826316,0.17595944326070556,0.14227558080413205,38,17.0
grouped,CatBoost,25,-0.36877552269088043,0.14334085522994758,0.11963759317919029,32,17.0
grouped,CatBoost,26,-0.5486849922399326,0.13042023268888928,0.09967868055598723,31,17.0
grouped,CatBoost,27,-0.804391164122529,0.2502664194582153,0.18400864800404573,35,17.0
grouped,CatBoost,28,0.2446824428478731,0.12664501049393287,0.10044107349346945,63,17.0
grouped,CatBoost,29,-0.009246522666366275,0.16791953365103687,0.1382251730104825,33,17.0
grouped,CatBoost,30,-0.6504720066926126,0.23389668301611857,0.1743030697480239,48,17.0
grouped,CatBoost,31,-0.12371017542250051,0.11336120949882868,0.09625757647732007,77,17.0
grouped,CatBoost,32,-0.6426434967677721,0.22268281417423394,0.1614876523188442,63,17.0
grouped,CatBoost,33,-0.6342481254815395,0.1321133079045376,0.10499967507415188,39,17.0
grouped,CatBoost,34,-0.16454038184114106,0.12441296721060992,0.10513966430777298,45,17.0
grouped,CatBoost,35,-0.07657152126808997,0.13826659320518103,0.10905474436299085,38,17.0
grouped,CatBoost,36,0.3188847830220747,0.10531693167034535,0.08449375132698993,55,17.0
grouped,CatBoost,37,-1.1303117756375882,0.15295513544138759,0.12923963634074365,36,17.0
grouped,CatBoost,38,-0.39663732732593404,0.13230057145003535,0.11370909707650068,47,17.0
grouped,CatBoost,39,0.19464678846130956,0.13634796759313741,0.11069179884238539,54,17.0
grouped,Ridge (one-hot),0,-0.23052350326735405,0.1165795664327237,0.0953472678407569,37,17.0
grouped,Ridge (one-hot),1,0.17047268036681518,0.12620441181517086,0.10602406902540917,48,17.0
grouped,Ridge (one-hot),2,0.0710881641729385,0.1414903147750264,0.1222612355022966,58,17.0
grouped,Ridge (one-hot),3,-0.3443596508018856,0.13994389540850993,0.12717080830497954,52,17.0
grouped,Ridge (one-hot),4,-0.3072618737842956,0.09140022678657511,0.07007238110888732,36,17.0
grouped,Ridge (one-hot),5,-0.70392081111466,0.12551650027476466,0.10886869301189474,47,17.0
grouped,Ridge (one-hot),6,-0.44154794904401706,0.12692919261208338,0.11801799757922053,53,17.0
grouped,Ridge (one-hot),7,-0.6103095094456878,0.11791642258347118,0.10222289181146314,61,17.0
grouped,Ridge (one-hot),8,-1.1046589996889384,0.24413099162558505,0.18537630382547662,42,17.0
grouped,Ridge (one-hot),9,0.039376495848437054,0.1457683653478156,0.12272873677565298,72,17.0
grouped,Ridge (one-hot),10,0.028060697305979265,0.13534682093694242,0.09857717673755101,54,17.0
grouped,Ridge (one-hot),11,0.45857782402844194,0.0690678999060689,0.05507034658178838,32,17.0
grouped,Ridge (one-hot),12,0.028488531973703823,0.15239492081168793,0.12422155926595799,80,17.0
grouped,Ridge (one-hot),13,0.26303462910935405,0.11422247380851687,0.09933744374499219,39,17.0
grouped,Ridge (one-hot),14,-0.053711538518446345,0.11629891163336248,0.09281335118590467,41,17.0
grouped,Ridge (one-hot),15,-0.5537962621068993,0.11409578247569867,0.0938413324743763,28,17.0
grouped,Ridge (one-hot),16,-1.6998028080665444,0.11222802588434004,0.09254629253456917,30,17.0
grouped,Ridge (one-hot),17,-0.3853957825603578,0.1384839605275604,0.11233995231453654,29,17.0
grouped,Ridge (one-hot),18,-0.5948542985994116,0.2443757307177904,0.18342180135158184,30,17.0
grouped,Ridge (one-hot),19,0.07082422295405133,0.12334618695021662,0.09947510206272536,51,17.0
grouped,Ridge (one-hot),20,-0.20203991428296142,0.19675892359949856,0.14362074844487516,61,17.0
grouped,Ridge (one-hot),21,-0.5120734026601521,0.10786120494019921,0.09229896117883858,57,17.0
grouped,Ridge (one-hot),22,-0.3118328716607559,0.16061216148976934,0.13645585723103404,46,17.0
grouped,Ridge (one-hot),23,0.027939866690487647,0.12579016450806382,0.1140623994790215,55,17.0
grouped,Ridge (one-hot),24,-0.34701266209269854,0.15740086416055207,0.13431104932089744,38,17.0
grouped,Ridge (one-hot),25,-0.5873890257276588,0.15436383618752264,0.1397385114236336,32,17.0
grouped,Ridge (one-hot),26,0.016230398797867585,0.10394656089266176,0.08629801127352799,31,17.0
grouped,Ridge (one-hot),27,-0.5375268580956418,0.2310194735456136,0.1627281975867033,35,17.0
grouped,Ridge (one-hot),28,0.0846236681309005,0.13941937576538,0.1071642961511068,63,17.0
grouped,Ridge (one-hot),29,-0.043558158484092946,0.1707500806324262,0.1356521917430188,33,17.0
grouped,Ridge (one-hot),30,-0.5886877635410332,0.22947704924651452,0.17378559160271015,48,17.0
grouped,Ridge (one-hot),31,0.09597828968721822,0.10167794129288756,0.08601098366402729,77,17.0
grouped,Ridge (one-hot),32,-0.486455073684412,0.21183169224074025,0.16171233177817734,63,17.0
grouped,Ridge (one-hot),33,-0.517429725394388,0.12730394515118443,0.10600166855882086,39,17.0
grouped,Ridge (one-hot),34,-0.3158272636675672,0.1322476038402588,0.10986978784101109,45,17.0
grouped,Ridge (one-hot),35,-0.5834488488413674,0.16768639879599034,0.14100959697054757,38,17.0
grouped,Ridge (one-hot),36,0.1722797573801228,0.1160993249093108,0.0944631337477238,55,17.0
grouped,Ridge (one-hot),37,-1.7061731347910225,0.17239325433317665,0.151014203920426,36,17.0
grouped,Ridge (one-hot),38,-0.6202708844816236,0.14249962173835523,0.12288723709073522,47,17.0
grouped,Ridge (one-hot),39,-0.1106171005048342,0.16011707555013813,0.12888595684456516,54,17.0
grouped,Mean predictor,0,-0.008060949402229456,0.10551662091032757,0.08639490316519727,37,17.0
grouped,Mean predictor,1,-0.05971070166899528,0.1426437837521122,0.10867351089015152,48,17.0
grouped,Mean predictor,2,-0.06315824575443485,0.15136951535960924,0.11890689655172412,58,17.0
grouped,Mean predictor,3,-0.5870925016614958,0.15205382300376802,0.1455601744186046,52,17.0
grouped,Mean predictor,4,-0.24146917591278294,0.08907051148687276,0.06998327127659575,36,17.0
grouped,Mean predictor,5,-1.0757630758381413,0.13853675444422278,0.12845630448371198,47,17.0
grouped,Mean predictor,6,-0.9176598006733527,0.14639719426350412,0.13668715712236568,53,17.0
grouped,Mean predictor,7,-0.9843053868109484,0.13089524542038156,0.11613400633611588,61,17.0
grouped,Mean predictor,8,-0.2500461870558046,0.1881460368419087,0.1351497854526426,42,17.0
grouped,Mean predictor,9,-0.14103851860853878,0.15886814771032592,0.13306654879385965,72,17.0
grouped,Mean predictor,10,-8.356073128323871e-06,0.13728728035359486,0.09462674183006536,54,17.0
grouped,Mean predictor,11,-0.012363326496094507,0.09444444809547367,0.07337681803385417,32,17.0
grouped,Mean predictor,12,-0.0014675725399504458,0.15472659650857995,0.12147426562500001,80,17.0
grouped,Mean predictor,13,-0.04009169354306863,0.13569499679866462,0.10308092654192655,39,17.0
grouped,Mean predictor,14,-0.0027337080280749326,0.11345080709614061,0.08923640343862455,41,17.0
grouped,Mean predictor,15,-0.3229881886041006,0.1052811301805704,0.08967437499999996,28,17.0
grouped,Mean predictor,16,-1.0428116166766368,0.0976223955818951,0.08643934329896906,30,17.0
grouped,Mean predictor,17,-0.0560230377181099,0.12090638636896257,0.09821674535809018,29,17.0
grouped,Mean predictor,18,-0.24050842441813924,0.21552488680926632,0.17131372680412368,30,17.0
grouped,Mean predictor,19,-0.048943491860771626,0.1310547707650558,0.1015781293210926,51,17.0
grouped,Mean predictor,20,-0.20499364677690624,0.19700051983636346,0.14390440199135068,61,17.0
grouped,Mean predictor,21,-1.317256929761582,0.1335260264693873,0.12095351013761947,57,17.0
grouped,Mean predictor,22,-0.4842523692469507,0.17084137086409618,0.13139781387396185,46,17.0
grouped,Mean predictor,23,-0.2964040221943143,0.14526811595380465,0.13135950026896182,55,17.0
grouped,Mean predictor,24,-0.6118767392694864,0.17218177768179307,0.1445991808149406,38,17.0
grouped,Mean predictor,25,-0.15535455432682088,0.13169264381682894,0.122351884765625,32,17.0
grouped,Mean predictor,26,-0.008234307547706265,0.10523111242293173,0.08686998245027576,31,17.0
grouped,Mean predictor,27,-0.15399333234698576,0.20014229899337996,0.15333600226757368,35,17.0
grouped,Mean predictor,28,-0.02509467000705179,0.14753847225776723,0.10850852361234348,63,17.0
grouped,Mean predictor,29,-0.07579687376654287,0.17336751633758687,0.1264977082341742,33,17.0
grouped,Mean predictor,30,-0.5624932495704345,0.22757736070055748,0.17441496614583332,48,17.0
